date,components temperature(℃),temperature(℃),air pressure(hPa),humidity(%),total radiation(W/m2),direct radiation(W/m2),diffuse radiation(W/m2),load(mw)
2019-01-02 01:45:00,-24.7125,-13.477,926.078,57.904,0,0,0,0
2019-01-02 02:00:00,-25.0925,-14.017,926.078,58.423,0,0,0,0
2019-01-02 02:15:00,-25.2275,-14.532,926.078,60.486,0,0,0,0
2019-01-02 02:30:00,-25.2875,-13.92,926.078,59.896,0,0,0,0
2019-01-02 02:45:00,-25.115,-13.216,926.078,56.669,0,0,0,0
2019-01-02 03:00:00,-25.145,-13.698,926.078,57.688,0,0,0,0
2019-01-02 03:15:00,-25.4,-13.995,926.078,59.873,0,0,0,0
2019-01-02 03:30:00,-25.805,-13.006,926.078,54.775,0,0,0,0
2019-01-02 03:45:00,-25.785,-12.629,926.078,53.651,0,0,0,0
2019-01-02 04:00:00,-26.1325,-12.801,926.078,55.411,0,0,0,0
2019-01-02 04:15:00,-26.4575,-14.316,926.078,59.517,0,0,0,0
2019-01-02 04:30:00,-26.7975,-15.15,926.078,61.619,0,0,0,0
2019-01-02 04:45:00,-26.1275,-15.258,926.078,63.214,0,0,0,0
2019-01-02 05:00:00,-26.435,-15.247,926.076,64.575,0,0,0,0
2019-01-02 05:15:00,-26.85,-15.034,926.077,63.243,0,0,0,0
2019-01-02 05:30:00,-26.7,-16.843,926.076,64.897,0,0,0,0
2019-01-02 05:45:00,-26.6,-16.426,926.076,66.4,0,0,0,0
2019-01-02 06:00:00,-26.5675,-15.952,926.077,64.923,0,0,0,0
2019-01-02 06:15:00,-26.55,-15.681,926.075,64.386,0,0,0,0
2019-01-02 06:30:00,-26.7,-15.938,926.074,64.583,0,0,0,0
2019-01-02 06:45:00,-26.675,-15.956,926.074,65.525,0,0,0,0
2019-01-02 07:00:00,-27.28,-15.632,926.075,65.263,0,0,0,0
2019-01-02 07:15:00,-26.8975,-14.538,926.074,61.851,0,0,0,0
2019-01-02 07:30:00,-26.955,-17.367,926.074,66.496,0,0,0,0
2019-01-02 07:45:00,-27.5075,-16.775,926.074,68.109,0,0,0,0
2019-01-02 08:00:00,-27.4625,-16.631,926.074,65.21,0,0,0,0
2019-01-02 08:15:00,-28.0775,-17.527,926.074,67.035,0,0,0,0
2019-01-02 08:30:00,-28.8,-18.378,926.074,68.4,0,0,0,0
2019-01-02 08:45:00,-28.6525,-17.12,926.075,66.966,0,0,0,0
2019-01-02 09:00:00,-28.325,-17.337,926.073,67.31,0,0,0,0
2019-01-02 09:15:00,-28.195,-16.85,926.067,66.3,0,0,0,0.045333
2019-01-02 09:30:00,-27.475,-16.161,926.06,63.521,6.125,5.2425,8.70667,1.106667
2019-01-02 09:45:00,-26.71,-16.759,926.064,64.246,40.65,36.495,19.0533,2.479467
2019-01-02 10:00:00,-23.7825,-16.956,926.064,64.819,76.2,68.5125,31.3734,4.171933
2019-01-02 10:15:00,-19.26,-16.807,926.062,64.526,117.725,105.885,53.96,6.712067
2019-01-02 10:30:00,-12.8525,-16.398,926.058,62.596,163.975,147.577,75.64,12.558534
2019-01-02 10:45:00,-5.75,-15.439,926.054,62.292,210.85,189.765,98.4667,20.201668
2019-01-02 11:00:00,0.2825,-14.893,926.048,58.15,260.5,234.45,122.507,24.756535
2019-01-02 11:15:00,6.4225,-13.565,926.044,55.098,308.3,277.47,145.853,28.268934
2019-01-02 11:30:00,12.8825,-12.703,926.039,51.831,357.175,321.457,169.96,31.101135
2019-01-02 11:45:00,13.67,-11.501,926.04,48.815,407.725,366.953,192.133,33.6426
2019-01-02 12:00:00,10.3575,-10.644,926.037,46.095,454.3,408.87,211.733,36.041203
2019-01-02 12:15:00,9.34,-10.51,926.032,46.702,495.5,445.95,227.867,38.193604
2019-01-02 12:30:00,13.3175,-10.992,926.028,48.573,529.65,476.685,97.12,39.601467
2019-01-02 12:45:00,17.3575,-10.331,926.025,47.367,552.6,497.34,95.2,40.845802
2019-01-02 13:00:00,20.9425,-8.874,926.023,43.588,585.225,526.702,96.7066,41.84047
2019-01-02 13:15:00,22.355,-8.679,926.021,43.725,622.7,560.43,100.84,42.65
2019-01-02 13:30:00,26.4975,-8.029,926.019,43.568,607.125,546.413,201.627,43.03647
2019-01-02 13:45:00,27.0127,-7.482,926.015,42.842,615.076,553.568,306.454,43.150997
2019-01-02 14:00:00,23.855,-6.964,926.015,41.965,614.775,553.298,302.88,42.70367
2019-01-02 14:15:00,24.74,-6.736,926.016,41.214,605.825,545.243,297.12,42.88607
2019-01-02 14:30:00,24.8775,-6.248,926.018,40.704,632.275,569.295,300.267,41.17707
2019-01-02 14:45:00,21.785,-5.749,926.013,40.541,604.6,544.275,293.16,39.763668
2019-01-02 15:00:00,22.4125,-5.578,926.018,40.138,524.875,472.837,259.48,39.725334
2019-01-02 15:15:00,17.6825,-5.427,926.011,41.418,544.975,490.612,268.72,38.560867
2019-01-02 15:30:00,15.5825,-5.122,926.014,41.818,508.6,457.965,248.947,36.534336
2019-01-02 15:45:00,13.69,-5.435,926.018,43.139,476.5,428.985,231.027,34.441067
2019-01-02 16:00:00,11.03,-5.161,926.025,44.012,439.125,395.212,211.24,31.417068
2019-01-02 16:15:00,9.23,-4.976,926.034,44.528,389.025,350.19,185.627,26.998735
